Área de Avaliação	Código da IES	Nome da IES*	Categoria Administrativa	Modalidade de Ensino	Sigla da UF** 	Nº  de Concluintes Participantes	Nota Padronizada - FG	Nota Padronizada - CE	Conceito Enade (Contínuo)	Conceito Enade (Faixa)	 Proporção de Concluintes participantes com nota no Enem	 Nota Bruta - IDD	 IDD (Contínuo)	 IDD (Faixa)
ENGENHARIA DE ALIMENTOS	699	FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA	Pública Federal	Educação Presencial	RO	4	2,123411382	2,107348703	2,111364373	3	1	2,325953226	3,688532541	4
AGRONOMIA	4785	INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA	Pública Federal	Educação Presencial	RO	34	2,79870416	3,309191089	3,181569357	4	0,941176471	4,606645667	3,86897436	4
ENGENHARIA CIVIL	4613	Centro Universitário FAEMA	Privada com fins lucrativos	Educação Presencial	RO	21	2,296813462	1,59527528	1,770659825	2	0,761904762	-0,397054036	2,102404678	3
ENFERMAGEM	4613	Centro Universitário FAEMA	Privada com fins lucrativos	Educação Presencial	RO	34	2,348003123	1,596814508	1,784611662	2	0,823529412	-0,686324003	2,361197157	3
FARMÁCIA	4613	Centro Universitário FAEMA	Privada com fins lucrativos	Educação Presencial	RO	23	1,417747523	0,799276435	0,953894207	2	0,913043478	-5,376314911	0,911085149	1
FISIOTERAPIA	4613	Centro Universitário FAEMA	Privada com fins lucrativos	Educação Presencial	RO	27	1,844885725	1,953258212	1,92616509	2	0,888888889	-2,897028591	1,699831599	2
AGRONOMIA	4613	Centro Universitário FAEMA	Privada com fins lucrativos	Educação Presencial	RO	26	2,110381469	1,648920587	1,764285807	2	0,769230769	-3,725880904	1,357234466	2
ARQUITETURA E URBANISMO	4613	Centro Universitário FAEMA	Privada com fins lucrativos	Educação Presencial	RO	14	1,854764441	1,339809675	1,468548366	2	0,642857143	-2,696712716	1,480756744	2
FARMÁCIA	1540	INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA	Privada sem fins lucrativos	Educação Presencial	RO	23	1,10352006	1,282104854	1,237458655	2	0,739130435	-1,551371022	1,9483903	3
NUTRIÇÃO	1540	INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA	Privada sem fins lucrativos	Educação Presencial	RO	17	0,740396458	1,836091753	1,562167929	2	0,529411765	-1,301780883	2,027727524	3
ENFERMAGEM	1540	INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA	Privada sem fins lucrativos	Educação Presencial	RO	25	1,894212038	1,739660921	1,7782987	2	0,76	-2,782584067	1,837397314	2
FARMÁCIA	1917	CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	13	1,204363453	2,82725974	2,421535668	3	0,846153846	1,364029714	2,739032016	3
TECNOLOGIA EM ESTÉTICA E COSMÉTICA	13792	INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	6	2,613535174	2,173363941	2,283406749	3	0,5	-2,508918827	1,725737812	2
FISIOTERAPIA	13792	INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	7	0,271048547	1,426191907	1,137406067	2	0,714285714	-2,991871195	1,67334818	2
ENFERMAGEM	13792	INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	18	1,758867941	3,171478565	2,818325909	3	0,777777778	2,344607242	3,118546562	4
BIOMEDICINA	13792	INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	13	0,634200126	1,108371803	0,989828884	2	0,461538462	-4,474317993	1,289462388	2
FARMÁCIA	13792	INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	7	0,567050706	1,708728273	1,423308881	2	0,857142857	-0,863545715	2,134924993	3
ENGENHARIA CIVIL	13792	INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	4	2,302631579	2,784842827	2,664290015	3	0,75	3,862340128	3,246376094	4
ODONTOLOGIA	13792	INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	12	1,488967714	0,820401315	0,987542915	2	0,5	-2,071621121	1,928491649	2
AGRONOMIA	13792	INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	14	1,282705164	1,134083722	1,171239082	2	0,857142857	-2,468895223	1,736137678	2
NUTRIÇÃO	1080	CENTRO UNIVERSITÁRIO ARTHUR SÁ EARP NETO	Privada sem fins lucrativos	Educação Presencial	RJ	25	3,257686939	3,247420438	3,249987063	4	0,96	2,406006576	3,636629654	4
ZOOTECNIA	4785	INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA	Pública Federal	Educação Presencial	RO	24	1,792257085	1,134673584	1,299069459	2	0,833333333	-2,751468527	1,444091169	2
TECNOLOGIA EM AGRONEGÓCIOS	4785	INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA	Pública Federal	Educação Presencial	RO	9	0,768875903	2,216786258	1,854808669	2	0,777777778	-0,495173023	1,218296424	2
NUTRIÇÃO	4255	Centro Universitário de Rondônia	Privada com fins lucrativos	Educação Presencial	RO	33	1,75438835	1,822829551	1,805719251	2	0,636363636	-2,15790432	1,656234057	2
ENGENHARIA CIVIL	4255	Centro Universitário de Rondônia	Privada com fins lucrativos	Educação Presencial	RO	10	1,404761905	2,071840396	1,905070774	2	0,9	-0,425286745	2,094822047	3
ARQUITETURA E URBANISMO	4255	Centro Universitário de Rondônia	Privada com fins lucrativos	Educação Presencial	RO	16	1,446444588	1,540877776	1,517269479	2	0,8125	-1,114121251	2,169697534	3
ENGENHARIA MECÂNICA	4255	Centro Universitário de Rondônia	Privada com fins lucrativos	Educação Presencial	RO	0				SC				SC
BIOMEDICINA	4255	Centro Universitário de Rondônia	Privada com fins lucrativos	Educação Presencial	RO	13	2,409549993	0,918274861	1,291093644	2	0,769230769	-4,816211244	1,213458962	2
FISIOTERAPIA	1917	CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	34	1,627179159	2,631687157	2,380560158	3	0,911764706	-0,659318939	2,324679511	3
ARQUITETURA E URBANISMO	1917	CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	14	2,765569819	2,216792228	2,353986626	3	0,785714286	3,045869998	3,980643516	5
MEDICINA VETERINÁRIA	1917	CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	56	1,102780201	1,066323882	1,075437962	2	0,857142857	-3,669150851	1,143782569	2
MEDICINA	1917	CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	95	1,837531146	2,847975854	2,595364677	3	0,926315789	2,068841544	2,986819871	4
ODONTOLOGIA	1917	CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	45	1,970904124	1,701428013	1,768797041	2	0,866666667	-1,806721744	1,999011699	3
ENGENHARIA CIVIL	1917	CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	5	2,704260652	1,686405749	1,940869475	2	1	-1,424603353	1,826429503	2
ENGENHARIA ELÉTRICA	1917	CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	20	2,231649832	2,391176471	2,351294811	3	0,95	0,851940157	2,997232215	4
ENFERMAGEM	1917	CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CACOAL	Privada com fins lucrativos	Educação Presencial	RO	46	2,144071714	2,644256718	2,519210467	3	0,934782609	-0,05616418	2,518657399	3
TECNOLOGIA EM GESTÃO AMBIENTAL	4785	INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA	Pública Federal	Educação Presencial	RO	7	2,598860993	2,506276988	2,529422989	3	0,571428571	-0,231456645	1,977844568	3
ZOOTECNIA	4785	INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA	Pública Federal	Educação Presencial	RO	51	1,966539652	2,261997406	2,188132968	3	0,921568627	3,179689157	3,70153183	4
AGRONOMIA	4785	INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA	Pública Federal	Educação Presencial	RO	59	1,82078541	2,583061337	2,392492356	3	0,966101695	0,518240207	2,636573718	3
ODONTOLOGIA	1699	FACULDADE DE EDUCAÇÃO DE JARU	Privada sem fins lucrativos	Educação Presencial	RO	33	1,312225207	2,649338198	2,31505995	3	0,666666667	4,211747522	3,601215385	4
FARMÁCIA	1699	FACULDADE DE EDUCAÇÃO DE JARU	Privada sem fins lucrativos	Educação Presencial	RO	36	1,589645323	1,637859485	1,625805945	2	0,555555556	0,315576297	2,454696831	3
ENFERMAGEM	1699	FACULDADE DE EDUCAÇÃO DE JARU	Privada sem fins lucrativos	Educação Presencial	RO	22	2,261696437	2,434431568	2,391247786	3	0,681818182	5,555418412	3,920843194	4
FISIOTERAPIA	450	Centro Universitário São Lucas Ji-Paraná	Comunitária/Confessional	Educação Presencial	RO	24	2,006931435	2,57611545	2,433819446	3	0,916666667	-1,123590793	2,195038341	3
